Pierwsze miejsce zerowe
Iteracja: 0 | x1: -1 | x2: -1
Iteracja: 1 | x1: -0.99981 | x2: -0.999275
Iteracja: 2 | x1: -0.999619 | x2: -0.998549
Iteracja: 3 | x1: -0.999428 | x2: -0.997823
Iteracja: 4 | x1: -0.999237 | x2: -0.997097
Iteracja: 5 | x1: -0.999045 | x2: -0.99637
Iteracja: 6 | x1: -0.998854 | x2: -0.995644
Iteracja: 7 | x1: -0.998662 | x2: -0.994917
Iteracja: 8 | x1: -0.99847 | x2: -0.994189
Iteracja: 9 | x1: -0.998278 | x2: -0.993462
Iteracja: 10 | x1: -0.998086 | x2: -0.992734
Iteracja: 11 | x1: -0.997893 | x2: -0.992005
Iteracja: 12 | x1: -0.9977 | x2: -0.991277
Iteracja: 13 | x1: -0.997507 | x2: -0.990548
Iteracja: 14 | x1: -0.997314 | x2: -0.989819
Iteracja: 15 | x1: -0.99712 | x2: -0.989089
Iteracja: 16 | x1: -0.996927 | x2: -0.98836
Iteracja: 17 | x1: -0.996733 | x2: -0.987629
Iteracja: 18 | x1: -0.996539 | x2: -0.986899
Iteracja: 19 | x1: -0.996344 | x2: -0.986168
Iteracja: 20 | x1: -0.99615 | x2: -0.985437
Iteracja: 21 | x1: -0.995955 | x2: -0.984706
Iteracja: 22 | x1: -0.99576 | x2: -0.983974
Iteracja: 23 | x1: -0.995564 | x2: -0.983243
Iteracja: 24 | x1: -0.995369 | x2: -0.98251
Iteracja: 25 | x1: -0.995173 | x2: -0.981778
Iteracja: 26 | x1: -0.994977 | x2: -0.981045
Iteracja: 27 | x1: -0.994781 | x2: -0.980312
Iteracja: 28 | x1: -0.994585 | x2: -0.979578
Iteracja: 29 | x1: -0.994388 | x2: -0.978844
Iteracja: 30 | x1: -0.994191 | x2: -0.97811
Iteracja: 31 | x1: -0.993994 | x2: -0.977376
Iteracja: 32 | x1: -0.993797 | x2: -0.976641
Iteracja: 33 | x1: -0.993599 | x2: -0.975906
Iteracja: 34 | x1: -0.993401 | x2: -0.97517
Iteracja: 35 | x1: -0.993203 | x2: -0.974434
Iteracja: 36 | x1: -0.993005 | x2: -0.973698
Iteracja: 37 | x1: -0.992806 | x2: -0.972962
Iteracja: 38 | x1: -0.992608 | x2: -0.972225
Iteracja: 39 | x1: -0.992409 | x2: -0.971488
Iteracja: 40 | x1: -0.992209 | x2: -0.970751
Iteracja: 41 | x1: -0.99201 | x2: -0.970013
Iteracja: 42 | x1: -0.99181 | x2: -0.969275
Iteracja: 43 | x1: -0.99161 | x2: -0.968536
Iteracja: 44 | x1: -0.99141 | x2: -0.967797
Iteracja: 45 | x1: -0.991209 | x2: -0.967058
Iteracja: 46 | x1: -0.991009 | x2: -0.966319
Iteracja: 47 | x1: -0.990808 | x2: -0.965579
Iteracja: 48 | x1: -0.990607 | x2: -0.964839
Iteracja: 49 | x1: -0.990405 | x2: -0.964098
Iteracja: 50 | x1: -0.990204 | x2: -0.963357
Iteracja: 51 | x1: -0.990002 | x2: -0.962616
Iteracja: 52 | x1: -0.989799 | x2: -0.961875
Iteracja: 53 | x1: -0.989597 | x2: -0.961133
Iteracja: 54 | x1: -0.989394 | x2: -0.96039
Iteracja: 55 | x1: -0.989191 | x2: -0.959648
Iteracja: 56 | x1: -0.988988 | x2: -0.958905
Iteracja: 57 | x1: -0.988785 | x2: -0.958161
Iteracja: 58 | x1: -0.988581 | x2: -0.957418
Iteracja: 59 | x1: -0.988377 | x2: -0.956674
Iteracja: 60 | x1: -0.988173 | x2: -0.955929
Iteracja: 61 | x1: -0.987969 | x2: -0.955185
Iteracja: 62 | x1: -0.987764 | x2: -0.954439
Iteracja: 63 | x1: -0.987559 | x2: -0.953694
Iteracja: 64 | x1: -0.987354 | x2: -0.952948
Iteracja: 65 | x1: -0.987148 | x2: -0.952202
Iteracja: 66 | x1: -0.986942 | x2: -0.951455
Iteracja: 67 | x1: -0.986736 | x2: -0.950708
Iteracja: 68 | x1: -0.98653 | x2: -0.949961
Iteracja: 69 | x1: -0.986323 | x2: -0.949213
Iteracja: 70 | x1: -0.986117 | x2: -0.948465
Iteracja: 71 | x1: -0.98591 | x2: -0.947716
Iteracja: 72 | x1: -0.985702 | x2: -0.946968
Iteracja: 73 | x1: -0.985495 | x2: -0.946218
Iteracja: 74 | x1: -0.985287 | x2: -0.945469
Iteracja: 75 | x1: -0.985079 | x2: -0.944719
Iteracja: 76 | x1: -0.98487 | x2: -0.943968
Iteracja: 77 | x1: -0.984661 | x2: -0.943218
Iteracja: 78 | x1: -0.984452 | x2: -0.942466
Iteracja: 79 | x1: -0.984243 | x2: -0.941715
Iteracja: 80 | x1: -0.984034 | x2: -0.940963
Iteracja: 81 | x1: -0.983824 | x2: -0.94021
Iteracja: 82 | x1: -0.983614 | x2: -0.939458
Iteracja: 83 | x1: -0.983404 | x2: -0.938705
